amm_number,product_name,manufacturer,submission_date,approval_date,clinical_trial_participants,reported_side_effects,batch_size,price_per_unit,production_cost,is_fraud,approval_time,price_to_cost_ratio,batch_size_variation,fast_approval,manufacturer_BioPharm Solutions,manufacturer_CureAll,manufacturer_HealthGen,manufacturer_MediVita,manufacturer_PharmaCorp
AMM-2023-171,MediSafeX,CureAll,2023-05-08,2023-09-21,1257,113,150000,39.67,9.83,0,136,4.03560528992879,1.5,0,False,True,False,False,False
AMM-2023-172,FlexiJoint,HealthGen,2023-04-17,2023-04-25,801,46,200000,109.35,14.45,1,8,7.567474048442906,2.0,1,False,False,True,False,False
AMM-2023-173,MediSafeX,HealthGen,2023-05-02,2023-06-29,590,57,150000,53.9,12.9,0,58,4.17829457364341,1.5,0,False,False,True,False,False
AMM-2023-174,MediSafeX,CureAll,2023-04-19,2023-09-27,1649,157,50000,21.74,6.7,0,161,3.2447761194029847,0.5,0,False,True,False,False,False
AMM-2023-175,FlexiJoint,CureAll,2023-02-13,2023-08-05,791,9,150000,29.35,8.36,0,173,3.5107655502392348,1.5,0,False,True,False,False,False
AMM-2023-176,PainAway,CureAll,2023-05-09,2023-07-03,361,18,150000,88.53,13.97,0,55,6.3371510379384395,1.5,0,False,True,False,False,False
AMM-2023-177,PainAway,BioPharm Solutions,2023-01-12,2023-03-17,1916,146,100000,33.92,7.0,0,64,4.845714285714286,1.0,0,True,False,False,False,False
AMM-2023-178,CardioPlus,PharmaCorp,2023-04-05,2023-07-27,1778,87,150000,57.61,14.9,0,113,3.866442953020134,1.5,0,False,False,False,False,True
AMM-2023-179,PainAway,MediVita,2023-05-18,2023-07-19,230,5,50000,32.4,6.7,0,62,4.835820895522388,0.5,0,False,False,False,True,False
AMM-2023-180,PainAway,PharmaCorp,2023-04-15,2023-07-08,714,23,150000,65.92,8.44,0,84,7.810426540284361,1.5,0,False,False,False,False,True
AMM-2023-181,QuickHeal,HealthGen,2023-05-25,2023-11-09,1149,20,50000,33.78,8.37,0,168,4.035842293906811,0.5,0,False,False,True,False,False
AMM-2023-182,PainAway,CureAll,2023-03-15,2023-07-11,410,26,100000,71.88,10.07,0,118,7.138033763654418,1.0,0,False,True,False,False,False
AMM-2023-183,CardioPlus,HealthGen,2023-05-20,2023-05-28,1285,69,150000,75.88,10.48,1,8,7.2404580152671745,1.5,1,False,False,True,False,False
AMM-2023-184,QuickHeal,CureAll,2023-01-21,2023-01-30,1661,160,100000,93.66,12.4,1,9,7.5532258064516125,1.0,1,False,True,False,False,False
AMM-2023-185,FlexiJoint,HealthGen,2023-02-18,2023-06-21,1041,61,200000,49.91,10.51,0,123,4.748810656517602,2.0,0,False,False,True,False,False
AMM-2023-186,PainAway,CureAll,2023-05-16,2023-07-04,1069,98,50000,68.19,13.04,0,49,5.229294478527607,0.5,0,False,True,False,False,False
AMM-2023-187,PainAway,BioPharm Solutions,2023-03-15,2023-08-08,1604,151,100000,64.58,11.74,0,146,5.500851788756388,1.0,0,True,False,False,False,False
AMM-2023-188,CardioPlus,PharmaCorp,2023-04-11,2023-05-21,1072,75,150000,22.42,7.31,0,40,3.0670314637482905,1.5,0,False,False,False,False,True
AMM-2023-189,FlexiJoint,PharmaCorp,2023-03-25,2023-04-16,1827,29,50000,47.71,14.34,1,22,3.3270571827057185,0.5,1,False,False,False,False,True
AMM-2023-190,CardioPlus,BioPharm Solutions,2023-06-17,2023-09-02,1708,145,50000,36.88,8.33,0,77,4.427370948379352,0.5,0,True,False,False,False,False
AMM-2023-191,QuickHeal,PharmaCorp,2023-05-17,2023-10-16,706,59,100000,60.79,12.19,0,152,4.98687448728466,1.0,0,False,False,False,False,True
AMM-2023-192,QuickHeal,MediVita,2023-05-31,2023-07-10,1065,89,200000,39.94,5.37,0,40,7.437616387337057,2.0,0,False,False,False,True,False
AMM-2023-193,FlexiJoint,PharmaCorp,2023-06-18,2023-12-11,1442,34,200000,72.61,10.55,0,176,6.8824644549763025,2.0,0,False,False,False,False,True
AMM-2023-194,QuickHeal,PharmaCorp,2023-02-02,2023-02-20,1694,148,150000,63.71,9.19,1,18,6.93253536452666,1.5,1,False,False,False,False,True
AMM-2023-195,PainAway,PharmaCorp,2023-03-30,2023-09-17,715,25,150000,21.88,6.75,0,171,3.241481481481481,1.5,0,False,False,False,False,True
AMM-2023-196,FlexiJoint,BioPharm Solutions,2023-03-05,2023-05-07,1245,115,150000,30.85,9.74,0,63,3.1673511293634498,1.5,0,True,False,False,False,False
AMM-2023-197,CardioPlus,MediVita,2023-06-26,2023-11-18,817,56,150000,49.48,6.53,0,145,7.577335375191423,1.5,0,False,False,False,True,False
AMM-2023-198,QuickHeal,CureAll,2023-06-09,2023-11-14,1180,18,100000,17.08,5.26,0,158,3.247148288973384,1.0,0,False,True,False,False,False
AMM-2023-199,MediSafeX,PharmaCorp,2023-04-12,2023-07-21,1283,55,50000,172.94,6.29,1,100,27.494435612082672,0.5,0,False,False,False,False,True
AMM-2023-200,QuickHeal,HealthGen,2023-04-21,2023-07-29,666,35,50000,39.97,7.13,0,99,5.6058906030855535,0.5,0,False,False,True,False,False
AMM-2023-201,PainAway,PharmaCorp,2023-03-19,2023-04-15,1015,83,200000,23.32,5.22,1,27,4.467432950191571,2.0,1,False,False,False,False,True
AMM-2023-202,CardioPlus,PharmaCorp,2023-04-17,2023-04-23,587,22,100000,68.73,9.18,1,6,7.486928104575164,1.0,1,False,False,False,False,True
AMM-2023-203,FlexiJoint,MediVita,2023-06-23,2023-09-17,1667,44,150000,58.82,10.03,0,86,5.864406779661017,1.5,0,False,False,False,True,False
AMM-2023-204,QuickHeal,HealthGen,2023-05-05,2023-05-06,1324,50,100000,34.67,8.4,1,1,4.127380952380952,1.0,1,False,False,True,False,False
AMM-2023-205,PainAway,HealthGen,2023-05-05,2023-07-21,1302,112,150000,58.07,11.97,0,77,4.851294903926482,1.5,0,False,False,True,False,False
AMM-2023-206,MediSafeX,MediVita,2023-03-24,2023-04-22,1421,97,100000,17.82,5.79,1,29,3.077720207253886,1.0,1,False,False,False,True,False
AMM-2023-207,MediSafeX,BioPharm Solutions,2023-02-16,2023-04-29,1196,45,200000,57.06,12.69,0,72,4.49645390070922,2.0,0,True,False,False,False,False
AMM-2023-208,FlexiJoint,HealthGen,2023-01-27,2023-04-05,290,5,50000,51.0,14.28,0,68,3.5714285714285716,0.5,0,False,False,True,False,False
AMM-2023-209,PainAway,BioPharm Solutions,2023-01-06,2023-01-16,1287,77,50000,53.76,8.13,1,10,6.612546125461254,0.5,1,True,False,False,False,False
AMM-2023-210,MediSafeX,BioPharm Solutions,2023-06-25,2023-08-31,1213,19,200000,26.29,8.46,0,67,3.1075650118203306,2.0,0,True,False,False,False,False
AMM-2023-211,CardioPlus,BioPharm Solutions,2023-06-13,2023-09-23,371,29,200000,83.01,12.63,0,102,6.572446555819478,2.0,0,True,False,False,False,False
AMM-2023-212,CardioPlus,BioPharm Solutions,2023-01-31,2023-06-13,296,23,150000,20.33,5.73,0,133,3.5479930191972073,1.5,0,True,False,False,False,False
AMM-2023-213,FlexiJoint,CureAll,2023-01-16,2023-05-01,763,72,100000,65.21,11.6,0,105,5.62155172413793,1.0,0,False,True,False,False,False
AMM-2023-214,FlexiJoint,MediVita,2023-04-07,2023-04-13,1257,94,100000,85.25,12.61,1,6,6.76050753370341,1.0,1,False,False,False,True,False
AMM-2023-215,QuickHeal,MediVita,2023-03-03,2023-05-22,1234,36,150000,51.37,8.85,0,80,5.8045197740112995,1.5,0,False,False,False,True,False
AMM-2023-216,QuickHeal,PharmaCorp,2023-05-03,2023-08-18,1215,40,50000,85.75,11.22,0,107,7.642602495543672,0.5,0,False,False,False,False,True
AMM-2023-217,PainAway,BioPharm Solutions,2023-01-15,2023-06-28,382,30,200000,68.23,8.54,0,164,7.989461358313819,2.0,0,True,False,False,False,False
AMM-2023-218,QuickHeal,PharmaCorp,2023-03-29,2023-04-24,1710,95,200000,43.69,10.45,1,26,4.180861244019138,2.0,1,False,False,False,False,True
AMM-2023-219,FlexiJoint,CureAll,2023-06-14,2023-09-13,382,18,200000,88.16,11.06,0,91,7.971066907775768,2.0,0,False,True,False,False,False
AMM-2023-220,FlexiJoint,MediVita,2023-04-02,2023-04-15,1735,10,200000,71.35,12.28,1,13,5.8102605863192185,2.0,1,False,False,False,True,False
AMM-2023-221,PainAway,HealthGen,2023-06-18,2023-12-03,1340,130,150000,41.07,10.74,0,168,3.824022346368715,1.5,0,False,False,True,False,False
AMM-2023-222,CardioPlus,PharmaCorp,2023-06-03,2023-06-06,365,19,100000,24.17,5.86,1,3,4.124573378839591,1.0,1,False,False,False,False,True
AMM-2023-223,FlexiJoint,PharmaCorp,2023-06-12,2023-09-10,1779,33,200000,107.85,13.81,0,90,7.80955829109341,2.0,0,False,False,False,False,True
AMM-2023-224,QuickHeal,BioPharm Solutions,2023-06-22,2023-06-25,1207,58,200000,82.63,14.78,1,3,5.590663058186739,2.0,1,True,False,False,False,False
AMM-2023-225,PainAway,MediVita,2023-03-19,2023-08-07,854,24,150000,73.34,9.5,0,141,7.720000000000001,1.5,0,False,False,False,True,False
AMM-2023-226,MediSafeX,CureAll,2023-03-27,2023-08-13,1987,42,50000,57.83,12.05,0,139,4.799170124481328,0.5,0,False,True,False,False,False
AMM-2023-227,FlexiJoint,BioPharm Solutions,2023-04-17,2023-07-07,862,32,150000,76.93,12.24,0,81,6.285130718954249,1.5,0,True,False,False,False,False
AMM-2023-228,MediSafeX,CureAll,2023-04-17,2023-08-14,1807,124,50000,24.07,5.06,0,119,4.756916996047432,0.5,0,False,True,False,False,False
AMM-2023-229,PainAway,PharmaCorp,2023-02-05,2023-06-12,617,27,50000,34.67,5.49,0,127,6.315118397085611,0.5,0,False,False,False,False,True
AMM-2023-230,MediSafeX,HealthGen,2023-05-12,2023-10-23,1945,23,200000,65.89,12.69,0,164,5.192277383766745,2.0,0,False,False,True,False,False
AMM-2023-231,MediSafeX,BioPharm Solutions,2023-06-21,2023-11-11,1336,102,100000,61.83,11.35,0,143,5.447577092511013,1.0,0,True,False,False,False,False
AMM-2023-232,QuickHeal,PharmaCorp,2023-05-31,2023-11-27,1922,161,150000,41.22,9.01,0,180,4.574916759156493,1.5,0,False,False,False,False,True
AMM-2023-233,MediSafeX,BioPharm Solutions,2023-02-16,2023-03-07,787,53,150000,39.47,5.91,1,19,6.678510998307952,1.5,1,True,False,False,False,False
AMM-2023-234,PainAway,CureAll,2023-04-15,2023-07-27,643,60,150000,36.36,11.41,0,103,3.186678352322524,1.5,0,False,True,False,False,False
AMM-2023-235,FlexiJoint,HealthGen,2023-02-28,2023-03-09,418,21,150000,44.84,6.86,1,9,6.536443148688047,1.5,1,False,False,True,False,False
AMM-2023-236,FlexiJoint,BioPharm Solutions,2023-02-07,2023-03-19,592,8,50000,86.76,11.42,0,40,7.597197898423818,0.5,0,True,False,False,False,False
AMM-2023-237,MediSafeX,HealthGen,2023-03-11,2023-06-27,1497,26,50000,36.11,5.91,0,108,6.109983079526226,0.5,0,False,False,True,False,False
AMM-2023-238,FlexiJoint,MediVita,2023-03-30,2023-06-22,1605,151,100000,162.33,5.69,1,84,28.528998242530754,1.0,0,False,False,False,True,False
AMM-2023-239,CardioPlus,BioPharm Solutions,2023-02-17,2023-03-06,793,51,50000,62.74,9.01,1,17,6.963374028856826,0.5,1,True,False,False,False,False
AMM-2023-240,PainAway,PharmaCorp,2023-05-23,2023-07-18,1486,103,200000,62.88,12.37,0,56,5.083265966046888,2.0,0,False,False,False,False,True
AMM-2023-241,MediSafeX,HealthGen,2023-03-01,2023-04-17,1936,116,50000,29.34,8.59,0,47,3.4155995343422583,0.5,0,False,False,True,False,False
AMM-2023-242,QuickHeal,BioPharm Solutions,2023-01-02,2023-02-17,1325,31,150000,44.29,9.49,0,46,4.667017913593256,1.5,0,True,False,False,False,False
AMM-2023-243,MediSafeX,CureAll,2023-04-09,2023-04-20,440,41,200000,97.6,13.2,1,11,7.393939393939394,2.0,1,False,True,False,False,False
AMM-2023-244,QuickHeal,BioPharm Solutions,2023-01-01,2023-03-18,1986,147,150000,82.34,11.76,0,76,7.001700680272109,1.5,0,True,False,False,False,False
AMM-2023-245,PainAway,BioPharm Solutions,2023-05-16,2023-11-09,1594,142,200000,56.85,8.86,0,177,6.4164785553047405,2.0,0,True,False,False,False,False
AMM-2023-246,PainAway,HealthGen,2023-05-14,2023-10-22,1502,60,50000,50.0,6.35,0,161,7.874015748031496,0.5,0,False,False,True,False,False
AMM-2023-247,CardioPlus,PharmaCorp,2023-03-31,2023-09-02,1613,66,200000,42.77,11.0,0,155,3.8881818181818186,2.0,0,False,False,False,False,True
AMM-2023-248,QuickHeal,PharmaCorp,2023-05-23,2023-07-22,1235,69,100000,38.26,7.68,0,60,4.981770833333333,1.0,0,False,False,False,False,True
AMM-2023-249,PainAway,HealthGen,2023-02-15,2023-07-16,1581,87,200000,91.57,14.66,0,151,6.2462482946794,2.0,0,False,False,True,False,False
AMM-2023-250,PainAway,PharmaCorp,2023-06-15,2023-10-22,908,73,50000,25.99,8.16,0,129,3.1850490196078427,0.5,0,False,False,False,False,True
AMM-2023-251,PainAway,PharmaCorp,2023-03-05,2023-08-20,1931,73,100000,89.23,14.01,0,168,6.369022127052106,1.0,0,False,False,False,False,True
AMM-2023-252,CardioPlus,MediVita,2023-01-08,2023-04-24,651,14,100000,46.12,6.32,0,106,7.297468354430379,1.0,0,False,False,False,True,False
AMM-2023-253,MediSafeX,BioPharm Solutions,2023-02-01,2023-03-26,513,28,200000,77.33,10.95,0,53,7.062100456621005,2.0,0,True,False,False,False,False
AMM-2023-254,PainAway,MediVita,2023-05-07,2023-06-09,612,54,100000,75.22,12.77,0,33,5.890368050117463,1.0,0,False,False,False,True,False
AMM-2023-255,PainAway,BioPharm Solutions,2023-01-30,2023-03-24,726,65,50000,83.13,13.64,0,53,6.09457478005865,0.5,0,True,False,False,False,False
AMM-2023-256,FlexiJoint,PharmaCorp,2023-04-16,2023-05-18,259,15,50000,55.21,13.44,0,32,4.107886904761905,0.5,0,False,False,False,False,True
AMM-2023-257,FlexiJoint,PharmaCorp,2023-04-18,2023-09-08,1302,39,50000,42.07,6.95,0,143,6.053237410071942,0.5,0,False,False,False,False,True
AMM-2023-258,CardioPlus,BioPharm Solutions,2023-03-10,2023-04-24,435,37,150000,37.77,6.24,0,45,6.052884615384616,1.5,0,True,False,False,False,False
AMM-2023-259,QuickHeal,MediVita,2023-01-09,2023-03-23,1685,101,150000,19.4,5.94,0,73,3.2659932659932656,1.5,0,False,False,False,True,False
AMM-2023-260,PainAway,HealthGen,2023-01-17,2023-06-22,363,6,150000,50.55,8.32,0,156,6.075721153846153,1.5,0,False,False,True,False,False
AMM-2023-261,CardioPlus,MediVita,2023-01-06,2023-06-20,1647,35,50000,48.4,9.97,0,165,4.854563691073219,0.5,0,False,False,False,True,False
AMM-2023-262,CardioPlus,CureAll,2023-05-31,2023-09-09,1370,111,100000,52.55,9.13,0,101,5.755750273822562,1.0,0,False,True,False,False,False
AMM-2023-263,MediSafeX,PharmaCorp,2023-02-13,2023-07-31,543,45,150000,38.53,6.4,0,168,6.0203125,1.5,0,False,False,False,False,True
AMM-2023-264,FlexiJoint,PharmaCorp,2023-02-14,2023-02-23,1056,30,200000,160.0,10.83,1,9,14.773776546629731,2.0,1,False,False,False,False,True
AMM-2023-265,QuickHeal,MediVita,2023-04-21,2023-09-30,1845,168,50000,42.45,10.26,0,162,4.137426900584796,0.5,0,False,False,False,True,False
AMM-2023-266,QuickHeal,MediVita,2023-03-18,2023-04-20,816,72,150000,57.65,11.13,0,33,5.17969451931716,1.5,0,False,False,False,True,False
AMM-2023-267,CardioPlus,HealthGen,2023-02-23,2023-05-14,1554,86,100000,53.87,7.11,0,80,7.576652601969057,1.0,0,False,False,True,False,False
AMM-2023-268,FlexiJoint,PharmaCorp,2023-01-16,2023-07-11,257,15,150000,42.0,6.75,0,176,6.222222222222222,1.5,0,False,False,False,False,True
AMM-2023-269,QuickHeal,BioPharm Solutions,2023-06-27,2023-10-14,1038,96,100000,227.37,9.95,1,109,22.851256281407036,1.0,0,True,False,False,False,False
AMM-2023-270,QuickHeal,HealthGen,2023-05-01,2023-10-08,1604,66,150000,54.72,8.02,0,160,6.822942643391522,1.5,0,False,False,True,False,False
AMM-2023-271,FlexiJoint,PharmaCorp,2023-04-14,2023-07-01,1619,41,100000,289.16,10.3,1,78,28.073786407766992,1.0,0,False,False,False,False,True
AMM-2023-272,MediSafeX,PharmaCorp,2023-02-05,2023-03-07,630,37,50000,54.68,13.11,0,30,4.170861937452327,0.5,0,False,False,False,False,True
AMM-2023-273,FlexiJoint,CureAll,2023-04-05,2023-06-04,1467,46,100000,48.37,6.94,0,60,6.969740634005763,1.0,0,False,True,False,False,False
AMM-2023-274,QuickHeal,HealthGen,2023-04-03,2023-05-10,496,44,100000,102.9,14.0,0,37,7.3500000000000005,1.0,0,False,False,True,False,False
AMM-2023-275,CardioPlus,CureAll,2023-05-03,2023-09-15,1223,59,150000,43.0,12.13,0,135,3.544929925803792,1.5,0,False,True,False,False,False
AMM-2023-276,QuickHeal,CureAll,2023-01-08,2023-06-04,1016,20,100000,41.28,10.27,0,147,4.019474196689387,1.0,0,False,True,False,False,False
AMM-2023-277,PainAway,MediVita,2023-03-26,2023-07-14,1703,19,100000,35.44,6.88,0,110,5.151162790697674,1.0,0,False,False,False,True,False
AMM-2023-278,PainAway,HealthGen,2023-01-05,2023-02-11,664,23,150000,21.91,7.14,0,37,3.0686274509803924,1.5,0,False,False,True,False,False
AMM-2023-279,PainAway,BioPharm Solutions,2023-01-24,2023-02-06,1298,65,150000,64.61,12.5,1,13,5.1688,1.5,1,True,False,False,False,False
AMM-2023-280,FlexiJoint,MediVita,2023-04-06,2023-06-11,1151,52,50000,65.33,13.42,0,66,4.868107302533532,0.5,0,False,False,False,True,False
AMM-2023-281,MediSafeX,CureAll,2023-05-24,2023-07-01,739,58,150000,32.59,7.44,0,38,4.380376344086022,1.5,0,False,True,False,False,False
AMM-2023-282,CardioPlus,MediVita,2023-03-01,2023-05-17,1766,16,150000,75.16,11.56,0,77,6.501730103806228,1.5,0,False,False,False,True,False
AMM-2023-283,MediSafeX,HealthGen,2023-05-15,2023-10-30,1264,111,200000,101.19,14.65,0,168,6.90716723549488,2.0,0,False,False,True,False,False
AMM-2023-284,FlexiJoint,PharmaCorp,2023-02-03,2023-04-04,1577,6,50000,350.45,11.7,1,60,29.952991452991455,0.5,0,False,False,False,False,True
AMM-2023-285,CardioPlus,BioPharm Solutions,2023-06-27,2023-12-04,1275,16,150000,94.08,12.5,0,160,7.5264,1.5,0,True,False,False,False,False
AMM-2023-286,FlexiJoint,CureAll,2023-02-17,2023-04-03,1897,87,200000,67.82,13.45,0,45,5.042379182156133,2.0,0,False,True,False,False,False
AMM-2023-287,MediSafeX,CureAll,2023-06-17,2023-11-23,290,16,100000,52.04,9.28,0,159,5.607758620689656,1.0,0,False,True,False,False,False
AMM-2023-288,FlexiJoint,CureAll,2023-04-09,2023-05-03,1328,20,100000,349.59,12.74,1,24,27.440345368916795,1.0,1,False,True,False,False,False
AMM-2023-289,FlexiJoint,CureAll,2023-04-26,2023-09-29,672,53,50000,83.12,14.43,0,156,5.760221760221761,0.5,0,False,True,False,False,False
AMM-2023-290,MediSafeX,CureAll,2023-03-31,2023-04-17,1321,44,150000,162.54,14.08,1,17,11.54403409090909,1.5,1,False,True,False,False,False
AMM-2023-291,PainAway,PharmaCorp,2023-03-14,2023-07-18,616,60,50000,52.13,7.24,0,126,7.2002762430939224,0.5,0,False,False,False,False,True
AMM-2023-292,FlexiJoint,MediVita,2023-03-05,2023-08-07,687,64,150000,62.78,8.46,0,155,7.420803782505909,1.5,0,False,False,False,True,False
AMM-2023-293,CardioPlus,MediVita,2023-02-05,2023-06-28,1970,160,200000,28.42,8.71,0,143,3.2629161882893225,2.0,0,False,False,False,True,False
AMM-2023-294,PainAway,BioPharm Solutions,2023-06-10,2023-09-28,1999,159,150000,30.32,8.88,0,110,3.414414414414414,1.5,0,True,False,False,False,False
AMM-2023-295,QuickHeal,CureAll,2023-02-19,2023-02-28,918,65,150000,61.71,9.5,1,9,6.49578947368421,1.5,1,False,True,False,False,False
AMM-2023-296,CardioPlus,HealthGen,2023-06-18,2023-10-27,891,8,150000,72.71,10.58,0,131,6.872400756143667,1.5,0,False,False,True,False,False
AMM-2023-297,FlexiJoint,HealthGen,2023-03-01,2023-05-22,1482,22,200000,34.85,6.17,0,82,5.648298217179903,2.0,0,False,False,True,False,False
AMM-2023-298,PainAway,PharmaCorp,2023-02-27,2023-03-06,373,18,200000,61.77,9.05,1,7,6.825414364640884,2.0,1,False,False,False,False,True
AMM-2023-299,QuickHeal,MediVita,2023-03-10,2023-03-27,937,52,150000,36.65,5.03,1,17,7.286282306163021,1.5,1,False,False,False,True,False
AMM-2023-300,PainAway,HealthGen,2023-06-22,2023-08-30,688,22,100000,64.57,8.39,0,69,7.6960667461263395,1.0,0,False,False,True,False,False
AMM-2023-301,PainAway,MediVita,2023-05-21,2023-05-26,1388,67,50000,39.58,9.89,1,5,4.002022244691608,0.5,1,False,False,False,True,False
AMM-2023-302,PainAway,PharmaCorp,2023-05-25,2023-10-17,1198,97,50000,40.95,7.65,0,145,5.352941176470589,0.5,0,False,False,False,False,True
AMM-2023-303,MediSafeX,HealthGen,2023-04-02,2023-07-23,254,20,150000,76.36,14.76,0,112,5.173441734417344,1.5,0,False,False,True,False,False
AMM-2023-304,FlexiJoint,BioPharm Solutions,2023-05-04,2023-06-14,1075,11,50000,38.83,5.28,0,41,7.354166666666666,0.5,0,True,False,False,False,False
AMM-2023-305,PainAway,HealthGen,2023-03-21,2023-06-01,1286,24,50000,50.89,7.1,0,72,7.167605633802817,0.5,0,False,False,True,False,False
AMM-2023-306,PainAway,HealthGen,2023-02-07,2023-05-28,910,78,50000,36.79,11.3,0,110,3.25575221238938,0.5,0,False,False,True,False,False
AMM-2023-307,FlexiJoint,CureAll,2023-03-04,2023-05-26,569,37,50000,23.18,5.35,0,83,4.332710280373832,0.5,0,False,True,False,False,False
AMM-2023-308,QuickHeal,HealthGen,2023-01-12,2023-02-09,1015,20,150000,26.97,5.76,1,28,4.682291666666667,1.5,1,False,False,True,False,False
AMM-2023-309,FlexiJoint,HealthGen,2023-03-21,2023-08-05,1735,77,200000,139.08,5.05,1,137,27.540594059405944,2.0,0,False,False,True,False,False
AMM-2023-310,FlexiJoint,BioPharm Solutions,2023-01-16,2023-02-03,1528,100,50000,51.49,12.22,1,18,4.213584288052373,0.5,1,True,False,False,False,False
AMM-2023-311,PainAway,HealthGen,2023-04-09,2023-04-23,491,16,150000,55.21,8.38,1,14,6.588305489260143,1.5,1,False,False,True,False,False
AMM-2023-312,CardioPlus,MediVita,2023-05-10,2023-07-30,301,14,150000,66.48,12.45,0,81,5.339759036144579,1.5,0,False,False,False,True,False
AMM-2023-313,CardioPlus,MediVita,2023-04-03,2023-04-04,825,74,150000,67.59,14.16,1,1,4.773305084745763,1.5,1,False,False,False,True,False
AMM-2023-314,MediSafeX,HealthGen,2023-01-14,2023-02-24,1536,23,200000,56.5,9.78,0,41,5.777096114519428,2.0,0,False,False,True,False,False
AMM-2023-315,CardioPlus,CureAll,2023-06-10,2023-07-29,208,14,100000,64.05,14.11,0,49,4.539333805811482,1.0,0,False,True,False,False,False
AMM-2023-316,QuickHeal,MediVita,2023-02-23,2023-07-16,1193,30,150000,79.65,11.61,0,143,6.86046511627907,1.5,0,False,False,False,True,False
AMM-2023-317,CardioPlus,MediVita,2023-06-26,2023-09-01,1273,66,100000,27.98,6.5,0,67,4.304615384615385,1.0,0,False,False,False,True,False
AMM-2023-318,QuickHeal,MediVita,2023-05-01,2023-05-06,1315,12,200000,27.44,9.0,1,5,3.048888888888889,2.0,1,False,False,False,True,False
AMM-2023-319,QuickHeal,HealthGen,2023-05-12,2023-10-23,277,7,150000,61.99,8.32,0,164,7.450721153846154,1.5,0,False,False,True,False,False
AMM-2023-320,QuickHeal,BioPharm Solutions,2023-04-29,2023-10-15,1548,131,50000,42.91,9.89,0,169,4.338725985844286,0.5,0,True,False,False,False,False
AMM-2023-321,MediSafeX,BioPharm Solutions,2023-01-22,2023-06-03,1925,41,150000,52.25,7.64,0,132,6.8390052356020945,1.5,0,True,False,False,False,False
AMM-2023-322,PainAway,CureAll,2023-06-24,2023-10-22,1917,180,200000,48.0,7.1,0,120,6.760563380281691,2.0,0,False,True,False,False,False
AMM-2023-323,QuickHeal,MediVita,2023-06-12,2023-11-06,1045,60,50000,79.04,11.18,0,147,7.069767441860466,0.5,0,False,False,False,True,False
AMM-2023-324,QuickHeal,PharmaCorp,2023-05-23,2023-07-27,1789,128,150000,64.12,13.02,0,65,4.924731182795699,1.5,0,False,False,False,False,True
AMM-2023-325,MediSafeX,MediVita,2023-05-04,2023-07-19,1553,122,150000,60.73,11.94,0,76,5.086264656616415,1.5,0,False,False,False,True,False
AMM-2023-326,CardioPlus,MediVita,2023-04-23,2023-05-20,595,53,150000,83.88,11.73,1,27,7.150895140664961,1.5,1,False,False,False,True,False
AMM-2023-327,FlexiJoint,BioPharm Solutions,2023-03-15,2023-04-28,1627,141,100000,53.97,14.49,0,44,3.72463768115942,1.0,0,True,False,False,False,False
AMM-2023-328,MediSafeX,CureAll,2023-06-12,2023-09-27,1643,44,100000,101.43,14.64,0,107,6.92827868852459,1.0,0,False,True,False,False,False
AMM-2023-329,PainAway,HealthGen,2023-05-15,2023-09-01,1764,7,50000,86.22,10.92,0,109,7.895604395604396,0.5,0,False,False,True,False,False
AMM-2023-330,CardioPlus,PharmaCorp,2023-01-31,2023-07-10,688,33,100000,58.72,7.56,0,160,7.767195767195767,1.0,0,False,False,False,False,True
AMM-2023-331,FlexiJoint,MediVita,2023-02-22,2023-05-21,880,75,200000,35.9,5.65,0,88,6.353982300884955,2.0,0,False,False,False,True,False
AMM-2023-332,PainAway,HealthGen,2023-04-14,2023-05-23,1012,89,100000,31.24,5.49,0,39,5.6903460837887065,1.0,0,False,False,True,False,False
AMM-2023-333,QuickHeal,PharmaCorp,2023-04-28,2023-05-03,1773,90,200000,81.82,11.78,1,5,6.945670628183361,2.0,1,False,False,False,False,True
AMM-2023-334,MediSafeX,CureAll,2023-04-03,2023-09-13,244,17,100000,62.28,13.31,0,163,4.679188580015026,1.0,0,False,True,False,False,False
AMM-2023-335,MediSafeX,BioPharm Solutions,2023-02-04,2023-06-10,1520,22,150000,70.8,14.63,0,126,4.839371155160628,1.5,0,True,False,False,False,False
AMM-2023-336,QuickHeal,BioPharm Solutions,2023-06-15,2023-11-15,738,10,200000,69.92,12.22,0,153,5.7217675941080195,2.0,0,True,False,False,False,False
AMM-2023-337,MediSafeX,MediVita,2023-02-21,2023-08-04,1404,69,100000,52.89,10.99,0,164,4.8125568698817105,1.0,0,False,False,False,True,False
AMM-2023-338,PainAway,MediVita,2023-01-03,2023-03-18,955,75,50000,25.49,7.58,0,74,3.362796833773087,0.5,0,False,False,False,True,False
AMM-2023-339,QuickHeal,MediVita,2023-05-06,2023-08-12,1673,142,50000,25.42,6.15,0,98,4.133333333333334,0.5,0,False,False,False,True,False
AMM-2023-340,FlexiJoint,HealthGen,2023-05-06,2023-07-04,920,20,150000,87.5,14.38,0,59,6.084840055632823,1.5,0,False,False,True,False,False
AMM-2023-341,MediSafeX,MediVita,2023-05-09,2023-09-14,1032,7,150000,71.79,10.98,0,128,6.538251366120219,1.5,0,False,False,False,True,False
AMM-2023-342,MediSafeX,MediVita,2023-02-16,2023-04-29,380,5,100000,23.49,7.37,0,72,3.1872455902306647,1.0,0,False,False,False,True,False
